,stock,from,to,from_w,to_w,cash,price
2017-07-11 09:30:09,SH601318,0.81552207,0.8133,14.71,14.87,0.0406682,50.81
2017-07-10 13:19:09,SH600004,2.74686278,3.0227,50.79,55.0,0.0406682,19.51
2017-07-04 10:50:42,SH600004,2.11434019,2.7469,41.34,51.0,0.01351362,19.2
2017-06-30 09:41:10,SH600004,1.31584196,2.1143,24.98,40.0,0.00619729,18.23
2017-06-29 14:13:42,SH600004,0.0,1.3158,0.0,25.0,0.41005626,18.17
2017-06-20 09:30:24,SZ002422,0.52345246,0.5189,10.03,10.12,0.00944897,16.0
2017-06-19 10:52:48,SH600900,0.39194768,1.6792,7.72,33.0,0.00944897,14.45
2017-06-16 09:30:07,SZ002039,0.51316356,0.511,9.91,10.12,0.88130656,14.18
2017-06-12 14:34:27,SH600597,0.3443536,0.5132,7.1,10.0,0.88130656,12.31
2017-05-26 10:12:45,SH600004,0.0,0.4919,0.0,10.0,0.68651712,16.3
2017-05-12 13:50:24,SH600500,0.33153035,0.0,7.01,0.0,1.86715796,9.7
2017-05-11 10:21:25,SH600458,0.0,0.3315,0.0,7.0,0.71042306,11.85
2017-04-21 14:54:42,SZ002039,0.0,0.3246,0.0,7.0,0.0159326,15.02
2017-04-13 10:24:48,SH601318,1.11125069,1.6579,24.01,36.0,0.03773796,35.89
2017-04-12 09:32:57,SZ000089,0.4461024,0.0,11.0,0.0,0.58994867,9.35
2017-03-02 10:00:25,SH601318,0.43854415,1.1153,9.83,25.0,0.08922149,36.2
2017-01-18 10:58:44,SZ000089,0.43558908,0.4385,9.61,10.0,0.96479947,8.0
2016-12-15 11:20:43,SH600674,0.43813063,0.7841,9.72,18.0,0.0063888,8.78
2016-12-06 09:30:27,SH600500,0.0,0.6572,0.0,15.0,0.13144025,10.64
2016-11-29 11:26:15,SH511990,0.0,4.3805,0.0,100.0,2e-07,99.978
2016-11-29 11:07:51,SZ002422,0.34162951,0.3064,7.83,7.0,2.14479137,17.72
2016-11-24 14:35:16,SH600900,0.0,1.58,0.0,37.0,6.9e-07,13.17
2016-11-23 09:53:47,SZ002422,0.0,0.2984,0.0,7.0,0.00025633,17.58
2016-11-21 11:29:30,SZ000089,0.0,0.2125,0.0,5.0,0.00014959,8.78
2016-11-09 10:37:43,SH600500,0.12225882,0.6082,3.09,15.0,2.8e-07,10.28
2016-11-02 09:30:59,SH600886,0.0,0.2038,0.0,5.0,0.93731823,6.55
2016-10-25 14:27:55,SH600028,0.0408745,2.0438,1.0,50.0,2.04376625,5.01
2016-10-21 11:06:45,SH600028,0.0,0.0409,0.0,1.0,4.04657622,5.0
2016-09-27 14:29:02,SH600886,0.03999684,1.9991,1.02,50.0,8e-08,6.55
2016-07-06 10:11:43,SZ000400,0.40296804,0.04,10.03,1.0,3.87969949,15.57
2016-07-05 09:30:06,SH600886,1.93883281,2.0164,48.02,50.09,1e-07,6.48
2016-06-27 09:30:05,SH600674,1.55106623,1.5547,38.8,40.08,1e-07,8.19
2016-06-24 14:52:10,SZ000400,0.0,0.3878,0.0,10.0,1e-07,15.05
2016-06-23 09:30:05,SZ000726,0.3957436,0.4032,9.75,10.2,0.03533247,10.91
2016-06-08 09:50:28,SH600674,0.98582556,1.5305,24.83,39.0,0.03533247,8.5
2016-06-06 13:16:52,SH600674,1.15644972,0.9858,29.4,25.0,0.59149554,8.6
2016-05-17 09:46:27,SH600886,1.36446177,2.1931,34.89,56.34,0.00192847,6.59
2016-05-17 09:30:04,SZ000568,0.76268051,0.0,21.42,0.0,0.83674795,25.78
2016-04-26 13:54:08,SZ000726,0.37440932,0.5456,10.07,14.62,7.12e-05,11.02
2016-04-26 09:35:45,SZ000726,0.0,0.3744,0.0,10.0,0.16989028,10.98
2016-04-25 09:56:02,SH600886,1.12679712,1.3047,29.76,35.0,0.5442996,6.33
2016-04-20 14:50:38,SH600674,1.30077422,1.1268,35.14,30.0,0.73971581,8.36
2016-04-20 13:59:38,SH600886,1.14840232,1.3008,29.24,35.0,0.35226896,6.33
2016-04-18 11:11:24,SH600886,0.77553664,1.1484,19.73,30.0,0.7656019,6.69
2016-04-15 09:58:14,SH600886,0.37295312,0.7755,9.55,20.0,0.56494389,6.87
2016-04-06 10:52:09,SH600900,0.0,0.9579,0.0,24.96,9e-08,12.27
2016-02-25 13:05:44,SH600674,0.0,0.7049,0.0,20.0,4.2e-07,7.9
2016-02-24 10:11:18,SH600900,1.43507711,2.1392,40.05,60.0,0.01739991,12.1
2016-02-24 09:56:14,SH600900,0.70794932,1.4351,19.77,40.0,0.72865376,12.16
